,total_amount
545686,1.0
77249,1.99
239238,1.34
525017,0.79
35874,1.25
389763,1.95
695666,1.19
776963,0.69
429104,2.49
472027,1.75
515310,1.19
676306,0.67
779309,0.79
706203,0.85
364497,1.79
210608,0.99
389155,1.99
759166,0.69
52766,0.99
614271,0.79
20034,1.25
36096,0.84
338283,2.69
365797,1.79
211946,1.99
275955,1.79
302379,3.35
733161,1.19
30433,0.84
751121,1.99
13024,2.49
128931,1.99
148088,2.19
674681,0.79
358893,3.49
526194,0.8
170111,3.19
171472,3.19
97662,0.99
604658,1.69
252603,1.33
374566,1.19
19963,1.25
802802,0.39
670152,1.77
237291,0.99
393787,1.5
789394,0.99
598541,1.0
382238,2.99
303623,1.95
393714,3.0
20077,3.75
225574,1.98
146702,2.29
800740,0.79
398459,2.15
776764,0.69
664725,1.29
16299,0.84
635746,0.89
62226,2.19
188928,0.99
459608,0.86
297609,1.99
493399,1.79
393536,1.5
379183,1.99
564265,1.39
36110,0.84
70159,2.19
772807,0.69
775355,0.89
511751,1.19
250094,0.99
11242,2.79
397048,1.79
575256,1.79
517018,1.19
236991,0.99
128046,1.99
168205,3.19
750148,1.64
243703,2.19
286383,0.99
665932,1.29
184248,1.07
561421,1.25
517663,0.8
378053,2.19
188040,1.59
409579,2.19
148879,2.19
78024,0.99
790922,0.88
402573,2.99
743292,0.99
561547,1.25
86396,0.83
668902,1.77
122287,0.79
488363,2.0
581520,1.5
414433,2.15
231318,0.99
403703,2.49
122483,1.08
553393,1.5
56847,3.59
119845,1.09
83462,2.9699999999999998
175697,0.84
327139,2.0
34852,1.19
344927,2.0
315094,2.89
701242,0.89
545467,2.0
614845,0.79
743703,0.88
749881,1.77
214780,3.0
442444,2.55
651640,0.67
444602,1.29
109920,1.19
630330,0.99
303962,2.29
440611,2.09
363779,1.79
38336,1.19
250831,1.99
472188,1.89
309978,2.89
781274,0.99
405799,1.79
199196,1.99
424142,2.75
42361,1.19
753878,3.54
457032,0.99
598441,1.0
39773,0.84
222722,2.69
581470,1.5
255892,1.99
541102,0.79
321627,2.79
453684,0.99
626905,0.79
31009,0.8
415203,1.99
798374,1.99
233006,2.9699999999999998
741407,1.29
167393,3.19
261386,2.69
142126,2.19
487295,3.89
593733,1.59
9278,2.0
352869,1.69
5680,2.0
733176,2.38
805168,0.99
411085,1.99
683940,0.67
177607,1.68
207747,1.99
513926,0.99
305738,2.89
53882,1.09
130834,0.99
354879,2.29
49191,1.2
411341,1.5
790278,0.98
494026,1.29
778130,0.99
262455,2.69
305286,2.99
701187,0.89
250292,0.99
461839,1.69
130092,1.59
103578,3.65
440330,2.09
151481,3.98
297973,0.99
360226,2.29
521325,0.8
658327,0.67
424418,2.49
210222,1.48
241870,1.79
280577,3.59
389174,1.99
472505,1.49
121467,1.09
274245,1.99
477762,1.89
733024,1.19
28086,1.69
469599,1.99
359578,3.49
350631,1.89
705018,0.75
660612,1.7
189532,1.75
364742,1.79
249108,3.0
134241,0.99
671041,2.29
624183,0.99
362528,2.99
609585,1.09
138651,1.89
493274,2.98
463641,0.69
261827,3.59
698797,1.25
768821,0.85
66852,1.5
122521,0.54
712722,0.89
801125,0.39
493985,1.29
566259,1.39
157974,3.19
524152,0.99
90257,0.99
64793,2.25
87932,1.98
635890,0.89
638359,0.45
782152,0.99
324211,2.69
330756,2.69
296382,2.67
750711,2.29
130709,1.99
532944,0.99
372721,2.39
366799,1.99
806554,0.99
278757,2.19
171872,3.19
728391,0.89
56022,3.59
573853,1.5
515353,1.19
558524,1.5
137107,1.89
311310,2.99
80601,1.29
628523,0.79
577896,1.5
496855,1.79
775389,0.89
402367,2.99
131088,1.99
630324,0.99
743586,0.74
563768,3.59
737969,1.19
788364,1.09
600524,1.59
564961,1.39
