,total_amount
239744,2.19
424619,2.29
781626,0.99
390484,1.5
42229,1.19
646131,0.45
50792,1.79
555645,1.5
41298,0.8
693994,1.09
521404,1.19
274381,1.99
344082,2.59
650529,0.79
426544,2.49
133786,1.69
380943,1.5
346535,2.0
746140,0.99
337840,2.69
390549,1.95
637689,0.45
508130,1.19
309212,2.99
38894,0.84
781986,0.99
107890,0.59
257495,1.33
144137,2.29
334372,2.69
327924,2.89
296782,2.19
672017,1.69
370799,3.09
179627,0.84
553413,3.0
49470,1.59
76785,1.99
642184,0.45
115524,0.79
270246,0.99
490485,3.49
195482,1.99
655453,0.69
435659,2.69
587222,2.79
368869,2.99
800150,0.89
352980,1.69
84532,0.89
431066,2.49
509447,0.8
796931,0.99
293188,1.99
97189,0.99
186804,1.79
612496,2.5
23657,0.84
12791,2.49
268028,1.99
104521,0.59
438678,1.99
598139,1.59
4422,2.0
649033,0.79
160216,2.79
173546,0.49
64021,2.19
592262,1.25
660059,0.85
116458,1.09
285239,0.99
37741,1.19
502018,1.19
707844,1.76
303178,2.99
422506,2.49
174591,0.99
72483,2.49
60951,2.25
9803,2.29
485180,2.69
132825,0.99
260952,2.69
244255,2.19
116206,1.09
84280,0.99
520453,0.99
675995,1.34
715341,0.95
112782,1.09
768134,0.67
296702,1.99
764433,0.67
423123,2.99
559697,1.25
202830,3.96
197929,0.99
113529,0.89
254042,1.99
799707,0.99
214564,1.5
51732,0.99
530216,1.19
200303,3.98
26674,1.79
232598,1.99
544965,1.19
202022,1.99
581503,1.5
481067,0.79
255295,1.99
298906,0.99
212259,0.99
286071,1.99
576272,1.79
441191,2.55
657334,1.09
659723,0.67
442289,0.89
128946,1.99
206309,1.5
391928,2.19
613745,1.89
170056,3.79
488702,3.49
351401,1.89
150378,2.19
630223,0.79
579620,1.5
626467,0.79
81174,0.83
203357,1.79
294383,1.98
333339,2.0
408079,2.15
249084,1.5
23902,0.8
357597,3.49
532235,0.99
629762,0.79
615893,0.95
174213,0.69
435091,2.69
334845,2.5
97138,0.99
291422,0.12
212591,0.99
531592,0.8
286895,1.5
576358,3.58
279059,0.49
331121,2.69
77874,0.99
138446,3.78
302937,2.99
138709,1.89
99934,0.19
191053,1.45
430413,2.49
499136,2.99
213351,3.98
706711,0.67
798400,1.99
648727,0.45
407344,2.19
134816,1.89
477999,1.89
344986,2.69
592231,1.39
613563,2.29
723055,0.99
518222,1.19
402221,2.5
113409,0.89
437070,2.45
173215,0.79
263104,2.69
58086,3.59
125408,1.09
463784,0.53
372801,2.39
644929,0.45
319360,2.99
218529,0.99
403082,2.5
495412,1.29
202990,0.99
621506,0.79
216711,2.19
349311,2.69
180970,2.35
713559,0.99
767324,0.69
794573,0.99
298689,1.98
134102,1.69
719363,0.88
527807,1.19
578651,1.5
173843,0.59
247798,1.5
216972,0.99
657156,2.18
710855,1.19
800434,0.99
645032,0.45
79531,0.99
285552,1.5
48367,1.33
574191,3.0
132291,0.99
545604,2.0
450145,0.24
594183,1.0
97311,1.15
74923,2.49
711867,0.89
799396,0.99
443913,0.99
95182,0.83
249004,1.5
763985,0.79
99680,0.99
403900,2.49
306857,2.49
697708,1.25
511264,0.8
265249,2.69
638593,0.45
186604,3.58
557824,1.09
543553,1.19
288198,0.49
47062,1.25
264803,2.6
718465,0.99
154737,1.29
162840,3.19
11351,2.79
543939,1.19
233352,1.99
272995,1.98
803511,0.39
594503,1.25
598306,1.19
690501,1.09
335028,2.5
497110,1.79
735619,1.29
600473,1.5
291100,1.99
25930,0.46
594710,1.25
481498,0.79
804523,0.99
605394,1.99
669348,1.77
579842,1.5
48454,1.99
748156,0.99
588516,2.0
16955,0.69
283873,1.99
303859,2.29
678262,0.79
615303,0.79
522056,1.19
567313,1.5
362755,2.99
778988,0.79
416898,1.95
72526,2.49
643795,0.45
343476,2.69
795139,0.88
623926,0.79
663347,1.39
233891,2.19
123910,1.09
762764,0.79
324952,2.0
444303,0.79
436091,1.99
773669,0.67
641695,0.65
508075,1.19
631927,3.49
99163,0.83
598644,1.0
649972,0.79
563779,2.79
490358,2.69
428133,2.5
414181,1.79
494964,1.19
85092,0.99
207174,1.99
739269,1.39
433940,2.29
687971,0.67
311615,2.89
275702,0.99
602809,1.0
636757,0.45
369026,2.99
1040,2.0
199266,2.19
81933,0.99
306848,2.49
46890,1.25
613184,1.88
503125,0.99
274417,2.19
467097,1.89
13771,0.69
177715,0.84
299637,2.99
117046,0.89
685950,0.85
255427,1.99
187479,1.59
139261,1.89
311262,2.75
772794,0.69
165003,3.19
445932,1.29
787735,0.89
576698,1.5
776187,0.89
171986,3.19
64780,1.25
370973,3.09
296099,1.99
676145,0.67
243691,1.99
388239,1.99
458020,1.19
164661,3.19
394441,2.15
489335,3.49
686636,0.79
576257,1.79
380399,1.79
409995,2.49
342760,2.69
447104,0.99
26979,1.79
610519,2.39
666173,1.29
418934,1.5
665881,1.29
502421,0.99
221718,2.69
284323,0.99
633610,2.99
206462,1.5
146662,2.29
48198,1.6
191731,1.59
321140,3.39
82973,0.99
608614,1.59
249631,1.99
39410,1.25
30064,1.79
412240,1.99
79568,0.99
455197,0.49
629884,0.79
352423,1.89
278018,0.99
186803,1.79
523338,1.19
415431,1.99
225399,1.99
477044,1.89
280523,3.59
206396,1.5
645925,0.45
729521,0.88
375413,2.55
455070,0.66
721216,0.88
325059,2.0
147283,2.29
729486,1.76
611268,2.49
520238,1.19
423773,1.49
200539,1.5
154864,1.29
168344,3.19
237960,1.5
675283,0.79
281678,1.99
46799,0.84
667150,1.59
223735,1.5
639706,0.45
394764,2.19
750031,1.77
69884,2.49
69919,2.49
466492,1.69
69368,2.49
337805,2.69
368232,2.99
748423,1.19
181318,0.49
614692,0.79
364729,1.79
120760,1.09
541768,1.29
636481,0.79
605101,1.27
443079,1.98
236868,1.99
21242,2.35
740081,1.19
718115,1.19
15978,0.84
592835,1.25
581121,1.5
810710,1.29
347428,2.5
219216,0.49
568481,1.5
214572,1.5
813825,1.19
660346,0.85
809880,1.19
670211,1.77
89535,1.98
510270,0.99
722878,0.88
420200,1.5
726230,1.19
534857,1.19
714004,0.99
89426,0.99
382182,3.89
789471,0.99
677674,0.79
166052,2.47
570464,1.69
161279,3.19
537774,2.69
48628,1.99
533429,1.79
537458,2.79
263253,2.69
485574,2.69
170719,3.19
449040,1.29
681560,0.85
718459,0.99
718434,0.88
801478,0.39
81162,0.83
479410,0.79
154204,1.29
480650,0.89
564818,1.39
564565,1.39
49329,3.58
544436,0.99
677792,0.79
412917,1.95
61013,0.99
731061,1.19
360302,2.29
365465,1.99
266682,1.99
473049,1.59
12902,2.49
793331,0.99
325664,2.59
644458,0.45
130681,1.99
585209,1.5
765853,1.58
371143,3.09
533218,0.99
693555,0.85
22424,2.35
550780,1.88
85390,0.99
814090,1.29
642110,0.45
669662,1.77
626058,0.79
565457,1.39
630006,0.79
549094,3.79
316663,2.49
18042,1.68
516302,0.8
757621,0.88
441993,1.19
280773,2.69
514740,2.38
622364,0.99
787079,1.09
763579,0.79
800803,0.79
755973,1.69
803455,0.39
609146,1.25
811053,1.29
389837,1.95
27519,1.27
311624,2.89
215864,2.67
492657,0.79
724579,0.88
256386,1.98
673577,1.99
69861,2.49
742012,1.59
624066,0.79
252625,1.34
32955,0.84
217076,1.98
610193,1.0
460597,1.69
586533,2.25
333130,2.0
739509,1.39
501850,1.19
539048,0.99
420487,1.99
557798,1.09
78251,0.99
627413,0.79
805484,0.67
414307,2.15
188713,0.99
235755,0.99
277201,1.5
451071,1.19
331369,2.89
288035,0.99
237295,0.99
125447,1.09
488970,3.49
767838,1.09
40895,0.8
269132,1.99
736547,1.59
631782,3.49
455812,1.29
179618,0.84
339224,2.59
813673,1.19
195523,1.5
335970,2.69
436600,2.19
142103,2.19
138920,1.89
780404,0.99
4023,2.0
198406,0.99
467908,1.89
360606,2.29
143998,2.29
806052,1.5
554132,1.5
36803,2.55
111413,1.19
450033,0.99
180642,0.8
542759,1.19
287940,1.99
439631,2.45
329937,2.59
467221,1.69
18129,0.84
290626,1.99
354184,2.45
587426,2.5
373091,2.49
616582,0.99
238326,2.19
352373,1.89
456621,1.75
542908,1.19
29569,1.79
416767,1.95
343406,2.69
542393,1.19
284297,1.98
4391,2.0
564500,1.39
621393,0.99
468793,1.99
304032,2.99
655176,1.38
159287,3.19
473285,3.18
548876,3.79
544711,1.19
263917,3.59
550119,1.19
742266,1.59
495369,1.32
817667,1.89
27542,1.27
721367,0.88
324501,3.79
58893,3.59
441430,1.35
732943,1.19
244107,1.34
627066,1.58
89868,0.83
126944,1.79
653903,0.79
11278,2.79
787636,0.89
201918,1.99
324929,2.0
666296,1.29
631767,3.49
251094,1.98
522810,0.99
80210,1.29
284138,0.99
392797,2.19
790481,0.98
682535,0.67
278286,1.99
785076,0.98
82479,0.99
691209,0.67
279757,2.69
247427,2.9699999999999998
669081,1.77
425106,2.69
77750,1.98
637476,0.45
485499,2.99
299084,1.5
233937,2.19
376627,2.19
732072,2.38
129734,1.99
204662,1.99
264700,3.59
419931,2.19
490451,3.89
412448,1.99
699484,0.99
545869,2.0
750963,1.99
601396,1.0
432206,2.39
578902,1.5
226436,1.5
502945,0.99
238145,1.5
326888,2.89
246855,1.99
217870,1.5
126445,3.58
250926,1.99
206401,1.5
224938,1.79
810340,2.58
746269,0.75
741456,2.58
724790,0.75
591125,1.19
346674,2.69
494082,1.29
215529,2.19
692574,0.67
515655,0.59
628627,0.79
300376,2.99
355460,2.29
284545,1.99
720972,0.79
446654,0.8
480713,0.89
786667,0.88
130127,1.59
339687,2.0
194189,1.29
308909,2.99
101460,0.99
396412,1.99
245331,1.5
706344,0.67
176856,1.25
374197,1.19
625922,0.79
33636,1.98
693355,0.85
644797,0.45
722414,0.88
486560,2.0
127354,1.5
170782,3.19
112572,1.09
232685,1.99
733685,1.29
774773,0.79
310193,2.49
24292,0.69
589703,2.0
757200,3.98
555256,1.5
796662,1.09
220339,1.33
532689,1.69
173560,0.49
687702,1.34
54467,3.49
104381,0.59
502477,0.99
447286,0.86
52400,0.99
436928,2.45
660416,0.85
110181,0.64
798927,1.19
272327,3.98
265198,2.69
21992,1.57
404070,3.19
745432,0.79
143629,2.29
285714,2.19
170409,3.19
114184,1.09
372188,3.09
396249,1.99
302518,2.99
321301,1.89
232251,2.19
241998,1.19
89082,1.98
156739,2.39
530392,0.99
100121,0.99
114148,2.18
770841,0.85
351345,1.89
2955,2.0
526708,0.99
359642,3.49
637584,0.45
216307,1.98
87224,0.99
369207,2.99
269240,3.0
594150,1.0
817140,1.99
43745,1.25
686939,0.79
405109,1.99
300505,3.35
162695,3.19
496871,1.79
733772,2.58
498320,2.69
58030,3.59
714413,1.9
2986,2.0
64215,2.25
415346,1.99
184174,0.99
254206,1.99
42594,0.84
665611,1.29
221164,0.99
204672,1.99
734084,1.29
145554,2.19
354986,2.29
24953,0.5
552037,1.5
751760,1.69
330918,2.69
494105,0.29
237119,2.9699999999999998
716782,0.99
7051,2.0
187800,1.59
105627,0.59
815921,1.65
638801,0.45
261090,2.69
551413,1.89
775881,0.89
78961,1.15
151816,2.29
176248,0.8
11137,2.5
810488,1.29
537911,2.99
16984,1.39
432865,2.59
190866,1.45
187739,1.59
540374,0.99
540471,0.99
257297,2.19
475171,1.75
517214,0.99
312568,2.89
745600,0.75
421546,2.29
406774,1.95
772328,0.89
263103,2.69
774399,0.95
69087,2.09
472411,1.59
439435,2.55
650332,0.79
582895,1.79
472363,1.59
711863,0.89
55493,3.59
94173,0.89
530764,0.99
115537,1.58
564622,1.39
755196,1.77
85058,0.99
713262,0.67
248358,3.98
772620,0.69
593025,1.09
409655,2.19
773315,0.77
741829,1.29
539919,1.69
299135,1.5
355908,3.49
51938,0.99
301984,3.69
106875,0.59
814288,1.29
535757,1.79
319141,3.59
547764,2.5
84289,0.99
584658,1.5
763543,0.79
113464,0.89
426872,2.49
105901,0.49
183356,0.72
788994,0.99
556764,2.25
226522,1.5
252819,1.99
222083,3.59
143331,1.69
294942,1.99
476080,1.89
391801,2.15
566801,1.5
679095,0.67
99300,0.83
809876,1.19
753094,1.99
576108,1.79
796409,0.89
603708,1.09
648305,0.65
793355,0.99
330145,2.89
526756,0.99
138745,1.89
46108,1.19
179810,0.84
345668,2.0
795539,1.09
368805,2.99
515965,0.99
673441,3.98
696668,1.19
746585,0.79
221131,1.98
3515,2.0
610625,2.79
756974,1.99
71995,2.49
493813,1.99
372711,2.39
323711,2.0
69337,2.79
770942,0.85
449466,0.79
390762,1.79
178878,1.25
147434,2.29
305764,2.89
146369,2.29
684007,0.67
778288,0.95
569505,1.5
54019,3.49
791410,0.88
469295,1.99
205351,0.99
546119,2.5
186278,1.39
158232,3.19
604134,1.59
119579,1.09
635919,0.89
39861,0.84
781768,0.99
795062,0.88
189094,0.99
523128,1.19
50795,3.58
735693,3.87
611198,2.5
228795,3.0
355598,3.49
427734,2.5
733901,1.29
757261,1.99
181644,0.5
289497,0.99
191922,1.59
339703,2.0
659248,0.67
230053,1.79
492499,1.79
300167,2.99
457377,0.86
531727,1.19
270486,1.99
683397,0.67
560451,0.99
410895,1.99
725553,0.79
53220,1.09
384066,2.49
759601,0.79
255944,1.99
392384,1.5
495018,1.19
611939,2.5
27666,1.89
815079,1.29
177037,0.84
576670,1.5
183863,0.99
381060,1.5
76919,1.99
358069,3.49
567480,1.79
661914,2.38
788381,1.09
395428,3.19
755760,3.98
86806,0.99
341916,2.0
558108,1.09
192331,0.99
454600,0.8
784437,1.19
126256,1.79
488242,2.69
716040,0.99
657216,1.09
769247,1.34
539033,0.99
350718,1.89
151239,2.19
654212,1.58
35946,1.25
651867,0.67
721375,0.75
207450,2.19
327093,2.0
568161,1.5
8970,2.0
147403,2.29
28110,1.69
496866,3.58
177268,1.25
449283,0.99
318940,2.69
373453,2.39
292644,2.19
7386,2.0
656189,0.85
806447,0.99
217677,1.5
816014,1.65
36109,0.84
355113,2.29
388386,1.99
258230,0.99
229996,0.99
524847,1.19
113877,1.09
245202,3.0
658310,0.67
231753,1.5
510059,0.99
417312,2.19
761429,0.67
154076,1.29
655100,0.69
508158,1.19
436330,2.19
588440,2.5
395195,3.9800000000000004
446943,0.99
448425,0.99
103818,0.59
142348,2.19
37999,1.19
436506,2.19
20171,1.25
756437,1.69
324562,2.89
95953,0.99
58291,3.29
435043,2.69
811060,1.29
103185,0.99
209648,2.19
100995,0.99
790100,1.19
405554,1.95
144805,2.19
398157,1.5
576284,1.79
336509,2.0
428967,2.49
239240,2.67
722688,0.89
208149,1.34
187919,3.18
396020,1.99
472788,1.59
795720,1.09
730982,1.19
328349,2.69
525757,0.99
241775,0.99
422974,2.49
280462,3.59
90327,0.99
759905,0.69
555858,3.0
464531,0.99
5644,2.0
462234,1.69
136097,1.99
611781,2.49
213879,0.99
503800,0.79
11162,1.59
55662,3.59
269908,2.19
264458,2.69
528949,1.19
669595,1.77
340088,2.69
361748,3.59
781349,0.99
274208,2.19
64934,1.99
18686,1.25
415030,2.15
361687,2.45
549006,3.79
329502,2.5
348842,2.89
792990,0.89
652745,0.69
29824,1.79
350985,2.79
384674,2.49
381403,1.5
763118,0.79
691519,1.7
672014,1.69
761447,0.67
204871,0.99
82340,0.99
13936,0.5
572611,1.19
145325,2.19
497513,0.79
459531,0.99
213204,1.99
148297,2.19
797843,1.09
712151,0.88
416368,1.99
251401,0.99
436242,2.19
10155,2.0
451338,0.79
305415,2.79
803927,0.39
423257,2.99
764090,0.65
38445,0.84
123929,1.09
34590,1.19
425665,2.49
741445,1.29
691268,1.09
253584,1.5
536554,2.99
425096,2.69
565664,1.39
581784,2.25
114358,2.18
600840,1.59
143476,2.29
548988,3.79
807806,0.99
125210,0.89
766880,0.69
321052,2.99
496350,1.99
523384,1.19
487588,3.89
538616,1.69
465652,1.59
389565,1.5
294466,0.99
698902,1.25
95377,0.83
135022,1.89
766140,0.79
643682,0.65
200724,1.5
182743,0.89
592398,1.25
596563,1.25
364800,1.99
308290,2.99
238513,1.99
232847,1.99
203593,1.99
206550,3.0
312691,2.49
625263,0.99
764212,0.67
713205,0.82
758939,0.67
242352,0.99
150955,2.19
246574,1.99
671212,2.89
405179,1.99
538041,1.79
64567,1.65
52956,1.09
636910,0.45
8851,2.0
693954,1.09
581210,1.5
693895,0.85
88133,0.99
300503,3.35
718224,0.88
631232,3.49
233,2.79
586733,2.5
551382,2.29
85529,1.98
805888,1.75
257479,1.34
536837,1.79
76661,1.99
593340,1.5
119610,1.09
102,2.79
325369,2.5
284549,1.99
672656,1.69
810061,1.19
194549,1.49
125334,1.09
423332,2.69
810579,2.58
460579,1.69
394326,2.25
646728,1.3
676371,0.67
659418,1.34
337270,3.65
260589,3.59
175612,0.84
236718,1.99
719607,0.75
386165,1.49
792571,0.89
47151,0.8
252460,1.33
317906,2.99
515515,1.19
425018,2.99
200509,1.5
148808,2.19
620856,0.79
543804,0.99
405306,1.5
611713,2.24
202719,0.99
431521,2.49
46568,1.25
295972,1.5
791306,0.88
178092,0.8
281513,1.5
671425,1.99
802778,0.39
69709,2.0
517437,0.99
787409,1.09
44661,0.84
793802,0.99
672204,1.69
568934,1.5
319677,2.99
719883,1.19
661796,2.38
503946,1.19
359304,3.49
780249,0.99
754766,1.77
204983,0.49
679691,0.67
789554,0.99
438671,1.99
773452,0.67
213089,1.99
314448,2.89
433945,2.29
524570,0.99
189848,0.97
732793,1.39
614681,0.79
34196,1.6
211177,1.5
235411,1.99
428011,2.99
39675,0.84
620885,1.58
75576,2.49
815050,1.29
11696,2.79
803988,0.39
37903,1.19
438560,1.99
363520,3.09
239527,3.98
393530,1.5
239703,3.98
64750,1.65
304001,2.19
429686,2.99
710983,1.19
503967,2.38
782237,0.99
201285,1.99
779239,0.79
549045,3.45
478234,0.89
699159,1.39
745732,0.79
492616,1.79
481557,0.89
789025,0.99
430928,2.5
85673,1.39
93209,1.29
19994,2.5
549469,1.5
452337,1.29
289272,1.99
59361,3.49
247195,0.99
482420,2.69
123599,1.09
117035,0.89
604661,1.69
82696,0.99
581772,2.25
530518,0.99
143069,2.29
613433,1.88
310708,2.99
663918,2.38
386243,1.49
110877,0.99
370054,3.09
451699,0.99
581488,1.5
700401,0.99
83859,0.99
110292,1.19
476143,1.89
733870,2.58
406196,1.99
278340,1.99
222171,3.59
37232,2.35
513205,1.19
527606,1.6
353968,2.35
402112,2.5
20212,1.25
546593,2.0
727514,0.75
595878,1.59
124110,1.19
662062,1.19
566226,1.39
261756,3.35
617292,0.79
708842,0.74
338809,2.5
13946,0.5
259599,3.59
719913,1.19
782989,0.79
67976,2.25
3357,2.0
56864,3.59
238305,1.99
73364,2.45
6469,2.5
682704,0.66
522370,0.59
797547,0.99
764265,0.67
668257,1.98
674962,0.79
634716,2.29
750194,1.77
72018,2.49
304657,1.95
700217,0.99
76655,2.29
165537,3.19
267303,0.99
556969,1.25
24079,1.19
766827,0.69
792033,1.19
206358,3.0
571660,1.19
316090,2.79
363233,3.09
728722,0.99
386338,1.39
492000,0.99
301428,2.99
245339,1.5
159935,3.19
735869,1.29
461166,1.69
235299,1.99
279118,2.69
14495,0.5
394190,2.19
288271,0.99
459236,1.19
418067,1.5
284516,1.79
197928,0.99
525535,1.18
20255,0.99
71278,2.79
149834,2.19
16985,1.39
351808,1.99
388315,1.99
617517,0.79
230225,1.99
417320,2.25
159174,3.19
99027,0.83
268955,0.99
454730,0.99
196323,1.99
787181,1.09
303551,3.79
190427,1.94
469703,1.99
146017,2.29
501139,1.19
287382,0.99
15163,0.75
337555,2.0
44900,1.25
268649,0.99
729517,0.88
24986,0.5
505202,1.19
54061,3.49
719325,0.88
598618,1.0
416736,1.95
365638,1.99
118847,1.09
773102,0.69
304538,3.19
729920,0.74
107623,0.59
131416,1.59
566447,1.39
347652,2.5
660496,1.7
611105,2.79
212493,0.99
235800,0.99
273992,1.34
815716,2.58
293206,1.99
116276,0.54
219912,1.5
494136,1.29
46826,0.84
584152,1.5
6247,2.5
517909,1.19
19987,1.25
626966,0.79
632463,3.49
44753,0.84
270648,1.5
48032,1.25
325081,2.0
162572,3.19
707310,0.85
24384,0.69
165899,3.25
451387,0.79
250684,1.99
375372,2.45
313808,2.89
791169,0.88
659814,0.67
460236,1.19
121208,1.09
597773,1.5
254650,0.99
337918,2.69
467277,1.69
575732,1.79
590494,2.39
134209,0.99
704339,0.69
560746,1.59
270157,1.99
374532,1.19
302822,2.99
565101,1.39
281504,3.0
786131,0.88
597213,1.09
643157,0.45
69962,2.49
464321,0.79
79768,1.39
73453,2.45
324008,2.0
817042,2.99
308271,2.99
664850,1.29
357270,3.49
635137,0.99
774659,0.79
367789,2.99
36319,1.25
715929,0.88
636266,0.99
144848,2.19
117737,1.09
558643,1.89
161723,2.99
636308,0.99
360837,2.29
529531,0.59
466557,1.69
94166,0.89
395159,2.49
505962,0.19
696190,1.19
487077,2.69
183573,1.07
106728,0.59
292084,1.99
82261,0.99
601687,1.25
606155,1.49
797389,0.99
88040,0.99
505393,1.19
33712,0.99
757638,0.99
581629,2.59
207553,2.19
773002,0.69
298322,1.99
93437,0.83
319929,2.99
232797,1.39
390044,1.95
772280,0.89
638289,0.45
626024,0.79
220619,1.33
634453,2.29
216357,1.99
579005,1.5
449687,1.19
74132,2.49
123460,1.98
660508,0.85
649396,0.79
525361,1.19
537489,2.79
510452,0.99
382367,2.5
512798,1.19
46529,1.25
144576,2.29
83366,0.99
388018,1.99
598831,1.25
361721,2.09
11022,3.19
108792,0.29
730352,0.75
682495,0.67
373630,2.49
178196,0.8
779754,0.79
519706,1.19
197631,2.19
748404,1.19
337302,2.69
419483,2.19
664214,1.19
149721,2.19
318018,2.99
720660,0.88
223928,1.99
58427,3.29
812632,1.19
659149,0.67
11827,2.79
449316,0.99
628006,0.79
512414,0.99
615937,0.95
671982,1.69
76055,2.39
125182,0.89
806993,0.99
439217,2.45
88723,0.89
401528,1.5
415186,1.99
651894,1.34
278623,1.33
197886,0.99
786161,0.88
383640,2.5
387873,3.98
213003,1.99
238377,2.19
95780,0.99
628034,0.79
514738,1.19
205767,0.99
165102,3.19
102161,0.99
684416,0.85
228967,1.5
148016,2.19
293367,0.99
44213,1.25
738461,1.19
445580,2.58
685157,0.85
778021,0.95
338852,2.5
671278,1.99
484227,1.99
723615,0.99
97035,0.99
306091,2.89
66646,2.19
733329,2.58
183418,0.72
624877,1.58
246817,1.99
338953,2.5
635910,0.89
679769,0.85
340577,2.0
554706,1.5
494111,1.29
439519,2.45
472947,3.18
259349,3.59
182947,1.07
669857,1.77
344117,2.59
643195,0.45
169184,2.19
402279,2.99
142912,2.29
79461,0.99
547927,1.19
62856,1.5
140278,2.45
368415,2.99
740786,1.29
121944,1.09
253548,1.5
574139,1.5
691743,0.67
727893,1.19
120510,0.89
416617,1.5
355166,2.29
442293,1.19
24754,1.38
234901,1.99
761115,0.67
700103,1.98
410521,2.5
196500,3.98
508341,1.19
670737,1.77
138281,1.89
552560,1.79
615338,0.79
277792,3.98
513252,1.19
156822,2.39
133457,1.19
615396,0.79
384148,2.49
777386,0.67
757826,0.88
688592,0.79
359844,3.49
158721,3.49
756099,1.69
524895,1.19
376418,1.5
373611,2.39
272821,2.37
177779,0.84
726058,1.5
687195,0.79
754291,1.77
394066,2.19
420001,2.15
788816,0.99
230176,1.99
453836,0.86
753,2.0
422273,2.99
779987,0.99
591358,1.19
300078,3.35
217937,1.5
531402,1.19
529733,1.19
220820,1.99
351343,1.89
308011,2.99
165353,3.19
614910,0.79
789508,1.98
801816,0.39
42034,1.19
549110,3.79
178751,1.25
590555,2.39
737379,0.99
704941,0.75
216063,1.34
743553,0.79
779116,0.79
309309,2.99
499393,1.99
441048,1.99
132931,0.99
622650,0.79
92965,0.99
527425,1.19
461846,1.69
511016,0.99
550283,2.19
248804,0.49
482726,2.99
228980,1.5
814635,1.29
135461,1.89
382817,2.49
412769,1.95
82685,0.99
14586,0.5
107203,0.59
480123,0.89
556930,1.46
343953,2.5
205365,0.99
512023,1.19
510174,0.99
546095,2.95
630897,3.49
506079,1.19
646833,0.45
459704,0.86
240172,0.49
753913,1.77
221107,1.98
64160,2.25
575595,1.79
95512,0.99
245079,1.99
683164,0.67
282294,0.19
713527,0.95
599817,1.09
620512,0.79
381174,1.5
77582,0.99
295138,1.99
411062,3.0
131048,1.99
360172,2.29
127689,1.79
675204,0.79
434400,1.99
449857,0.9
393302,2.19
627137,0.79
610818,2.5
38251,1.19
334478,2.89
154751,1.29
358303,3.49
128132,1.99
718880,0.79
388065,1.99
84662,0.89
585252,1.5
386574,1.49
38417,0.84
422809,2.49
308881,2.99
569787,1.5
44404,0.99
243331,1.5
320828,3.19
785913,0.88
79094,0.89
663456,1.39
111664,1.19
179209,1.72
571434,1.19
656853,0.67
370650,3.09
563215,2.79
555708,1.5
535210,0.99
376609,2.15
750489,1.77
755854,1.69
817698,2.69
194766,1.49
549878,1.34
638298,0.45
274681,0.99
178982,1.25
176750,0.99
421409,2.49
462878,0.99
501596,0.8
123365,1.99
239789,1.99
730613,0.89
510176,0.99
300446,2.35
612990,1.88
69396,2.49
750984,1.99
539746,1.69
390734,1.79
556005,1.5
221903,2.69
438548,1.99
61658,2.19
547939,0.99
709030,0.88
564540,1.39
443357,0.64
320464,3.39
733616,1.29
274343,2.19
664295,1.19
246162,0.99
550400,0.99
464951,0.86
13952,0.5
8482,2.5
230462,1.99
403702,2.49
772041,0.89
343379,2.69
253478,1.5
156265,2.39
574321,1.5
110541,0.59
569175,1.5
305525,3.79
24259,0.92
350150,2.45
730325,0.75
30458,1.25
700553,1.98
47923,1.19
679423,0.67
360117,2.29
183567,1.07
362959,3.09
392156,2.15
674818,0.79
801504,0.39
728324,0.89
462571,1.69
583488,1.79
737802,0.99
508855,0.99
151211,2.19
746022,0.74
66905,3.0
655952,0.69
16798,0.99
263465,3.59
253463,1.5
753425,1.99
386642,1.49
729147,1.19
761877,0.85
443296,1.29
213836,0.99
199413,1.99
211208,1.5
515142,1.58
567841,1.79
274559,0.99
372445,2.39
518106,0.79
208091,2.68
269129,2.19
421745,2.49
64665,2.09
181491,0.75
249044,1.5
219990,2.19
649641,0.79
87408,2.9699999999999998
167849,3.19
656130,0.69
764100,1.37
465357,1.19
754623,1.77
232099,2.19
248040,2.19
638294,0.45
429723,1.25
412783,3.9
64919,1.99
204891,0.49
117882,1.09
8251,2.0
538096,1.79
293653,1.5
653728,0.79
357843,3.49
92729,0.99
554911,1.5
353962,2.35
404091,3.19
679905,0.85
230603,1.99
719221,0.99
248501,1.99
792084,1.19
568081,1.5
1037,2.0
619599,0.79
305497,3.79
759720,0.69
30598,0.99
182788,0.89
343609,2.89
693272,0.67
679422,0.67
701337,0.67
646009,0.45
427293,2.5
611550,2.79
212776,1.79
51816,0.99
456840,1.69
308389,2.5
381737,2.19
248207,1.34
590883,0.99
71939,2.49
289889,0.99
511341,1.19
145842,2.19
251538,1.98
646030,0.45
199585,1.34
601379,1.0
390255,1.95
574790,1.5
213816,0.99
384563,2.49
276703,1.48
364469,1.79
673892,0.79
810367,1.29
534862,0.99
450678,1.29
575946,1.79
366365,1.79
169236,3.19
502790,0.99
447378,0.86
436175,2.19
409240,2.19
503337,0.8
473315,3.18
655675,0.69
561923,1.09
96260,0.99
25011,0.5
544461,0.99
127913,0.89
139571,1.89
11931,0.69
88599,1.15
6492,2.5
678836,0.79
590743,2.69
314420,2.89
804589,0.99
389680,1.5
130890,0.99
108865,0.29
264952,2.69
635737,0.89
566113,1.39
407713,1.5
370123,3.09
34106,0.8
250375,0.99
564771,1.39
260659,2.69
65431,2.25
279683,2.69
284964,0.99
549425,1.5
485092,2.99
526348,1.19
770128,0.67
153645,2.29
683599,0.67
773857,1.9
449035,1.29
353771,2.45
506748,0.99
559139,1.19
